Time (s)	System Output	ControllerOutput
3.649997	0.903264	0.905174
3.659997	0.903523	0.905657
3.669997	0.903777	0.906144
3.679997	0.904027	0.906627
3.689997	0.904273	0.907113
3.699997	0.904516	0.907598
3.709997	0.904755	0.908083
3.719997	0.904990	0.908566
3.729997	0.905222	0.909050
3.739997	0.905451	0.909534
3.749997	0.905677	0.910013
3.759997	0.905900	0.910495
3.769997	0.906121	0.910973
3.779997	0.906339	0.911450
3.789997	0.906555	0.911926
3.799997	0.906769	0.912401
3.809997	0.906980	0.912870
3.819997	0.907190	0.913342
3.829997	0.907398	0.913808
3.839997	0.907604	0.914274
3.849997	0.907809	0.914735
3.859997	0.908013	0.915198
3.869997	0.908215	0.915653
3.879997	0.908417	0.916109
3.889997	0.908617	0.916560
3.899997	0.908817	0.917009
3.909997	0.909015	0.917454
3.919997	0.909214	0.917897
3.929997	0.909411	0.918335
3.939997	0.909609	0.918770
3.949997	0.909806	0.919203
3.959997	0.910003	0.919631
3.969997	0.910200	0.920058
3.979997	0.910397	0.920479
3.989997	0.910594	0.920896
3.999997	0.910791	0.921310
4.009997	0.910988	0.921721
4.019997	0.911186	0.922127
4.029997	0.911384	0.922530
4.039998	0.911582	0.922926
4.049998	0.911782	0.923323
4.059998	0.911982	0.923711
4.069998	0.912182	0.924100
4.079998	0.912383	0.924480
4.089999	0.912585	0.924859
4.099999	0.912788	0.925234
4.109999	0.912992	0.925602
4.119999	0.913197	0.925969
4.130000	0.913403	0.926330
4.140000	0.913610	0.926688
4.150000	0.913818	0.927042
4.160000	0.914027	0.927390
4.170001	0.914237	0.927737
4.180001	0.914449	0.928077
4.190001	0.914662	0.928413
4.200001	0.914876	0.928746
4.210001	0.915091	0.929075
4.220002	0.915307	0.929398
4.230002	0.915525	0.929719
4.240002	0.915744	0.930036
4.250002	0.915965	0.930349
4.260003	0.916187	0.930656
4.270003	0.916410	0.930962
4.280003	0.916634	0.931261
4.290003	0.916860	0.931558
4.300004	0.917088	0.931850
4.310004	0.917316	0.932139
4.320004	0.917546	0.932426
4.330004	0.917778	0.932705
4.340004	0.918010	0.932983
4.350005	0.918244	0.933258
4.360005	0.918480	0.933528
4.370005	0.918716	0.933795
4.380005	0.918954	0.934058
4.390006	0.919193	0.934317
4.400006	0.919434	0.934574
4.410006	0.919676	0.934827
4.420006	0.919919	0.935078
4.430007	0.920163	0.935324
4.440007	0.920408	0.935567
4.450007	0.920655	0.935806
4.460007	0.920902	0.936044
4.470007	0.921151	0.936279
4.480008	0.921401	0.936510
4.490008	0.921652	0.936737
4.500008	0.921904	0.936963
4.510008	0.922156	0.937186
4.520009	0.922410	0.937406
4.530009	0.922665	0.937622
4.540009	0.922921	0.937837
4.550009	0.923177	0.938049
4.560009	0.923434	0.938258
4.570010	0.923692	0.938466
4.580010	0.923951	0.938669
4.590010	0.924211	0.938874
4.600010	0.924471	0.939071
4.610011	0.924732	0.939272
4.620011	0.924993	0.939466
4.630011	0.925255	0.939660
4.640011	0.925518	0.939851
4.650012	0.925781	0.940041
4.660012	0.926044	0.940230
4.670012	0.926308	0.940415
4.680012	0.926573	0.940600
4.690012	0.926837	0.940781
4.700013	0.927102	0.940965
4.710013	0.927367	0.941140
4.720013	0.927632	0.941321
4.730013	0.927898	0.941495
4.740014	0.928163	0.941672
4.750014	0.928429	0.941843
4.760014	0.928695	0.942018
4.770014	0.928961	0.942185
4.780015	0.929226	0.942358
4.790015	0.929492	0.942524
4.800015	0.929758	0.942691
4.810015	0.930023	0.942859
4.820015	0.930288	0.943024
4.830016	0.930553	0.943187
4.840016	0.930818	0.943350
4.850016	0.931083	0.943513
4.860016	0.931347	0.943673
4.870017	0.931611	0.943835
4.880017	0.931874	0.943995
